"REF_INSEE";"NAME";"SLUG";"NORMALIZED";"DEPARTMENT";"REGION";"IS_DISTRICT";"DISTRICT_OF";"ZIP_CODES";"LATITUDE";"LONGITUDE"
"98751";"Tatakoto";"tatakoto";"tatakoto";"987";;"0";;"98783";"-17.345460000";"-138.451821000"
"98752";"Teva I Uta";"teva-i-uta";"teva i uta";"987";;"0";;"98726,98727";"-17.764363000";"-149.401823000"
"98753";"Tubuai";"tubuai";"tubuai";"987";;"0";;"98754";"-23.381415000";"-149.490145000"
"98754";"Tumaraa";"tumaraa";"tumaraa";"987";;"0";;"98735";"-16.787674000";"-151.479752000"
"98755";"Tureia";"tureia";"tureia";"987";;"0";;"98784";"-20.771083000";"-138.564291000"
"98756";"Ua-Huka";"ua-huka";"ua huka";"987";;"0";;"98747,98744";"-8.914607000";"-139.533869000"
"98757";"Ua-Pou";"ua-pou";"ua pou";"987";;"0";;"98745,98746";"-9.382538000";"-140.058951000"
"98758";"Uturoa";"uturoa";"uturoa";"987";;"0";;"98735";"-16.725701000";"-151.457907000"
"98801";"Belep";"belep";"belep";"988";;"0";;"98811";"-19.750122000";"163.666335000"
"98802";"Bouloupari";"bouloupari";"bouloupari";"988";;"0";;"98812";"-21.862633000";"166.050904000"
"98803";"Bourail";"bourail";"bourail";"988";;"0";;"98870";"-21.561670000";"165.491996000"
"98804";"Canala";"canala";"canala";"988";;"0";;"98813";"-21.520295000";"165.958893000"
"98805";"Dumbéa";"dumbea";"dumbea";"988";;"0";;"98830,98836,98837,98839,98835";"-22.158216000";"166.453514000"
"98806";"Farino";"farino";"farino";"988";;"0";;"98881";"-21.665824000";"165.775731000"
"98807";"Hienghène";"hienghene";"hienghene";"988";;"0";;"98815";"-20.688630000";"164.943881000"
"98808";"Houaïlou";"houailou";"houailou";"988";;"0";;"98816,98838";"-21.278387000";"165.630087000"
"98809";"Île-des-Pins";"ile-des-pins";"ile des pins";"988";;"0";;"98832";"-22.615612000";"167.480983000"
"98810";"Kaala-Gomen";"kaala-gomen";"kaala gomen";"988";;"0";;"98817";"-20.666537000";"164.398277000"
"98811";"Koné";"kone";"kone";"988";;"0";;"98859,98860";"-21.056387000";"164.857063000"
"98812";"Koumac";"koumac";"koumac";"988";;"0";;"98850";"-20.557453000";"164.285495000"
"98813";"La Foa";"la-foa";"la foa";"988";;"0";;"98880";"-21.708432000";"165.826006000"
"98814";"Lifou";"lifou";"lifou";"988";;"0";;"98820,98885,98884";"-20.954744000";"167.221178000"
"98815";"Maré";"mare";"mare";"988";;"0";;"98828,98878";"-21.489473000";"168.000064000"
"98816";"Moindou";"moindou";"moindou";"988";;"0";;"98819";"-21.692723000";"165.677347000"
"98817";"Mont-Dore";"mont-dore";"mont dore";"988";;"0";;"98874,98876,98810,98809,98875";"-22.266108000";"166.566186000"
"98818";"Nouméa";"noumea";"noumea";"988";;"0";;"98800";"-22.268168000";"166.457038000"
"98819";"Ouégoa";"ouegoa";"ouegoa";"988";;"0";;"98821";"-20.344466000";"164.438317000"
"98820";"Ouvéa";"ouvea";"ouvea";"988";;"0";;"98814";"-20.644496000";"166.569525000"
"98821";"Païta";"paita";"paita";"988";;"0";;"98840,98889,98890";"-22.133804000";"166.360606000"
"98822";"Poindimié";"poindimie";"poindimie";"988";;"0";;"98822";"-20.937112000";"165.332115000"
"98823";"Ponérihouen";"ponerihouen";"ponerihouen";"988";;"0";;"98823";"-21.071245000";"165.402002000"
"98824";"Pouébo";"pouebo";"pouebo";"988";;"0";;"98824";"-20.391215000";"164.576011000"
"98825";"Pouembout";"pouembout";"pouembout";"988";;"0";;"98825";"-21.115408000";"164.899464000"
"98826";"Poum";"poum";"poum";"988";;"0";;"98826";"-20.231607000";"164.024066000"
"98827";"Poya";"poya";"poya";"988";;"0";;"98827,98877";"-21.344747000";"165.157530000"
"98828";"Sarraméa";"sarramea";"sarramea";"988";;"0";;"98882";"-21.642163000";"165.853665000"
"98829";"Thio";"thio";"thio";"988";;"0";;"98829";"-21.610504000";"166.215669000"
"98830";"Touho";"touho";"touho";"988";;"0";;"98831";"-20.790733000";"165.258342000"
"98831";"Voh";"voh";"voh";"988";;"0";;"98883,98833";"-20.948963000";"164.685938000"
"98832";"Yaté";"yate";"yate";"988";;"0";;"98834";"-22.165755000";"166.950065000"
"98833";"Kouaoua";"kouaoua";"kouaoua";"988";;"0";;"98818";"-21.396270000";"165.828710000"
"98901";"Île de Clipperton";"ile-de-clipperton";"ile de clipperton";"989";;"0";;"98799";"10.297389384";"-109.221264243"
